time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010450200000	15.042	20.3322	4.85483	2.66445	0.434583	lidar	2.13158	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.811	20.4126	4.89872	2.70911	0.486134	radar	2.3263	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6034	20.5265	4.87291	2.72625	0.477731	lidar	0.571019	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3489	20.6248	5.07882	2.76534	0.52288	radar	1.15204	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1081	20.6916	5.04847	2.80113	0.535434	lidar	0.692532	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.8593	20.7712	5.14289	2.83614	0.560183	radar	0.16393	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.5722	20.8374	5.27073	2.87089	0.565517	lidar	1.26688	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.3123	20.8765	5.40197	2.92528	0.632828	radar	1.61692	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.0898	20.895	5.20578	2.96967	0.654413	lidar	0.342586	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.8644	20.953	5.00731	2.98749	0.620949	radar	2.09524	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.7149	20.9672	4.64991	3.02758	0.645755	lidar	2.08669	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4561	21.0122	4.77252	3.05	0.62865	radar	2.64571	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.2021	21.0524	4.8473	3.07152	0.612629	lidar	0.199069	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9725	21.0688	4.84001	3.10346	0.619885	radar	0.891219	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7395	21.0322	4.77862	3.15462	0.648945	lidar	1.68964	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.5029	21.0139	4.72412	3.19102	0.650858	radar	1.0251	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2987	21.003	4.62252	3.22543	0.657743	lidar	0.474739	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0491	20.9616	4.66279	3.26412	0.661502	radar	4.1305	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.8492	20.9207	4.56153	3.30639	0.678474	lidar	0.129964	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.6153	20.9109	4.25612	3.31215	0.612639	radar	5.19403	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
